STAR version=2.7.10a
STAR compilation time,server,dir=2022-09-23T14:14:35-0400 scs-build-rhel7.broadinstitute.org:/tmp/redhat_7_x86_64/star_2.7.10a-build/STAR-2.7.10a/source
STAR git: 
##### Command Line:
STAR --runThreadN 8 --runMode genomeGenerate --genomeDir hg38_STAR_index --genomeFastaFiles /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa --sjdbGTFfile /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf --sjdbOverhang 149
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    8     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     hg38_STAR_index     ~RE-DEFINED
genomeFastaFiles              /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   /broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/gencode.v47.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  149     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 43  "KI270304.1" chrStart: 3096182784
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 44  "KI270305.1" chrStart: 3096444928
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 45  "KI270310.1" chrStart: 3096707072
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 46  "KI270311.1" chrStart: 3096969216
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 47  "KI270312.1" chrStart: 3097231360
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 48  "KI270315.1" chrStart: 3097493504
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 49  "KI270316.1" chrStart: 3097755648
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 50  "KI270317.1" chrStart: 3098017792
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 51  "KI270320.1" chrStart: 3098279936
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 52  "KI270322.1" chrStart: 3098542080
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 53  "KI270329.1" chrStart: 3098804224
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 54  "KI270330.1" chrStart: 3099066368
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 55  "KI270333.1" chrStart: 3099328512
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 56  "KI270334.1" chrStart: 3099590656
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 57  "KI270335.1" chrStart: 3099852800
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 58  "KI270336.1" chrStart: 3100114944
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 59  "KI270337.1" chrStart: 3100377088
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 60  "KI270338.1" chrStart: 3100639232
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 61  "KI270340.1" chrStart: 3100901376
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 62  "KI270362.1" chrStart: 3101163520
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 63  "KI270363.1" chrStart: 3101425664
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 64  "KI270364.1" chrStart: 3101687808
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 65  "KI270366.1" chrStart: 3101949952
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 66  "KI270371.1" chrStart: 3102212096
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 67  "KI270372.1" chrStart: 3102474240
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 68  "KI270373.1" chrStart: 3102736384
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 69  "KI270374.1" chrStart: 3102998528
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 70  "KI270375.1" chrStart: 3103260672
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 71  "KI270376.1" chrStart: 3103522816
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 72  "KI270378.1" chrStart: 3103784960
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 73  "KI270379.1" chrStart: 3104047104
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 74  "KI270381.1" chrStart: 3104309248
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 75  "KI270382.1" chrStart: 3104571392
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 76  "KI270383.1" chrStart: 3104833536
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 77  "KI270384.1" chrStart: 3105095680
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 78  "KI270385.1" chrStart: 3105357824
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 79  "KI270386.1" chrStart: 3105619968
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 80  "KI270387.1" chrStart: 3105882112
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 81  "KI270388.1" chrStart: 3106144256
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 82  "KI270389.1" chrStart: 3106406400
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 83  "KI270390.1" chrStart: 3106668544
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 84  "KI270391.1" chrStart: 3106930688
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 85  "KI270392.1" chrStart: 3107192832
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 86  "KI270393.1" chrStart: 3107454976
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 87  "KI270394.1" chrStart: 3107717120
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 88  "KI270395.1" chrStart: 3107979264
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 89  "KI270396.1" chrStart: 3108241408
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 90  "KI270411.1" chrStart: 3108503552
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 91  "KI270412.1" chrStart: 3108765696
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 92  "KI270414.1" chrStart: 3109027840
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 93  "KI270417.1" chrStart: 3109289984
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 94  "KI270418.1" chrStart: 3109552128
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 95  "KI270419.1" chrStart: 3109814272
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 96  "KI270420.1" chrStart: 3110076416
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 97  "KI270422.1" chrStart: 3110338560
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 98  "KI270423.1" chrStart: 3110600704
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 99  "KI270424.1" chrStart: 3110862848
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 100  "KI270425.1" chrStart: 3111124992
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 101  "KI270429.1" chrStart: 3111387136
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 102  "KI270435.1" chrStart: 3111649280
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 103  "KI270438.1" chrStart: 3111911424
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 104  "KI270442.1" chrStart: 3112173568
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 105  "KI270448.1" chrStart: 3112697856
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 106  "KI270465.1" chrStart: 3112960000
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 107  "KI270466.1" chrStart: 3113222144
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 108  "KI270467.1" chrStart: 3113484288
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 109  "KI270468.1" chrStart: 3113746432
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 110  "KI270507.1" chrStart: 3114008576
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 111  "KI270508.1" chrStart: 3114270720
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 112  "KI270509.1" chrStart: 3114532864
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 113  "KI270510.1" chrStart: 3114795008
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 114  "KI270511.1" chrStart: 3115057152
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 115  "KI270512.1" chrStart: 3115319296
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 116  "KI270515.1" chrStart: 3115581440
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 117  "KI270516.1" chrStart: 3115843584
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 118  "KI270517.1" chrStart: 3116105728
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 119  "KI270518.1" chrStart: 3116367872
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 120  "KI270519.1" chrStart: 3116630016
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 121  "KI270521.1" chrStart: 3116892160
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 122  "KI270522.1" chrStart: 3117154304
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 123  "KI270528.1" chrStart: 3117416448
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 124  "KI270529.1" chrStart: 3117678592
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 125  "KI270530.1" chrStart: 3117940736
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 126  "KI270538.1" chrStart: 3118202880
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 127  "KI270539.1" chrStart: 3118465024
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 128  "KI270544.1" chrStart: 3118727168
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 129  "KI270548.1" chrStart: 3118989312
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 130  "KI270579.1" chrStart: 3119251456
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 131  "KI270580.1" chrStart: 3119513600
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 132  "KI270581.1" chrStart: 3119775744
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 133  "KI270582.1" chrStart: 3120037888
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 134  "KI270583.1" chrStart: 3120300032
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 135  "KI270584.1" chrStart: 3120562176
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 136  "KI270587.1" chrStart: 3120824320
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 137  "KI270588.1" chrStart: 3121086464
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 138  "KI270589.1" chrStart: 3121348608
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 139  "KI270590.1" chrStart: 3121610752
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 140  "KI270591.1" chrStart: 3121872896
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 141  "KI270593.1" chrStart: 3122135040
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 142  "KI270706.1" chrStart: 3122397184
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 143  "KI270707.1" chrStart: 3122659328
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 144  "KI270708.1" chrStart: 3122921472
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 145  "KI270709.1" chrStart: 3123183616
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 146  "KI270710.1" chrStart: 3123445760
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 147  "KI270711.1" chrStart: 3123707904
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 148  "KI270712.1" chrStart: 3123970048
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 149  "KI270713.1" chrStart: 3124232192
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 150  "KI270714.1" chrStart: 3124494336
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 151  "KI270715.1" chrStart: 3124756480
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 152  "KI270716.1" chrStart: 3125018624
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 153  "KI270717.1" chrStart: 3125280768
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 154  "KI270718.1" chrStart: 3125542912
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 155  "KI270719.1" chrStart: 3125805056
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 156  "KI270720.1" chrStart: 3126067200
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 157  "KI270721.1" chrStart: 3126329344
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 158  "KI270722.1" chrStart: 3126591488
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 159  "KI270723.1" chrStart: 3126853632
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 160  "KI270724.1" chrStart: 3127115776
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 161  "KI270725.1" chrStart: 3127377920
/broad/hptmp/mnajia/2025-11-05_CSR/exp1_localization/GRCh38.primary_assembly.genome.fa : chr # 162  "KI270726.1" chrStart: 3127640064
